,investor,year,weighted_score
6510,Force Capital Management LLC,2013,10.786761603556936
7266,"Global Thematic Partners, LLC",2013,10.753865236639559
14295,SECTORAL ASSET MANAGEMENT INC,2013,10.60792111354591
4756,DAVIS-REA LTD.,2013,10.590940117212151
3171,CHESAPEAKE ASSET MANAGEMENT LLC,2013,10.39443134134524
2323,"Beech Hill Advisors, Inc.",2013,10.35128892272714
13135,"Private Capital Advisors, Inc.",2013,10.323097693182861
12396,PIONEER INVESTMENT MANAGEMENT INC,2013,10.309766495511948
14045,S&CO INC,2013,10.238646594362939
4488,"Country Club Trust Company, n.a.",2013,10.223852375183965
4332,"Community Financial Services Group, LLC",2013,10.207286688544013
8194,"Horan Capital Advisors, LLC.",2013,10.1983556676935
9692,"Laurel Grove Capital, LLC",2013,10.15054903626237
6175,FRANKLIN STREET ADVISORS INC /NC,2013,10.113947150664309
